Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,29,274,45287,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,30,271,1148,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,31,270,1736,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),32,269,492,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),33,267,830,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,34,262,4789,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,35,259,31613,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,36,258,35,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),37,255,3861,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),38,255,21758,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,39,251,44480,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,39,251,44480,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
