Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Effective Speed,Average Score,Overclocked Score,Value & Sentiment,Code Name,Launch Date,Processor Number,# of Cores,# of Threads,Max TDP,Price,Sockets Supported
CPU,,Intel,Xeon E3-1270 v3,180,76.3,763,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz,-1,-2,-2,,,,,,,,,
CPU,,Intel,Xeon E5-1650 0,181,76.3,6051,https://cpu.userbenchmark.com/SpeedTest/7093/IntelR-XeonR-CPU-E5-1650-0---320GHz,-1,-3,-2,-1678,Sandy Bridge EP,Q1'12,E5-1650,6,12,130,264,FCLGA2011
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,182,76.2,1372,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz,-1,-2,-2,-4934,Haswell,Q2'14,E3-1246V3,4,8,84,183,FCLGA1150
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,183,76.2,5983,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934,-1,-1,-1,-1242,,,,,,,306,
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,184,76.1,74579,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957,-1,-2,-1,-92,,,,,,,209,
CPU,,Intel,Core i7-5850HQ,185,76.1,38,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz,-1,-3,-1,,Broadwell,Q2'15,i7-5850HQ,4,8,47,,FCBGA1364
CPU,,Intel,Core i5-2550K,186,76.1,2149,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz,-1,-4,-3,-4901,Sandy Bridge,Q1'12,i5-2550K,4,4,95,,LGA1155
CPU,BX80677I57500,Intel,Core i5-7500,187,75.9,93600,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648,-1,-3,-3,-134,Kaby Lake,Q1'17,i5-7500,4,4,65,223,FCLGA1151
CPU,BX80623I72700K,Intel,Core i7-2700K,188,75.9,15830,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985,-1,-3,-2,-1020,Sandy Bridge,Q4'11,i7-2700K,4,8,95,336,LGA1155
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,189,75.9,5311,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz,-1,-3,-3,-3262,,,,,,,,
CPU,BX80623I72600K,Intel,Core i7-2600K,190,75.7,104685,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621,-1,-3,-2,-139,Sandy Bridge,Q1'11,i7-2600K,4,8,95,226,LGA1155
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,191,75.7,14880,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932,-1,-1,-1,-1258,,,,,,,,
CPU,,Intel,Core i5-4670,192,75.7,32266,https://cpu.userbenchmark.com/SpeedTest/630/IntelR-CoreTM-i5-4670-CPU---340GHz,-1,-4,-3,-411,Haswell,Q2'13,i5-4670,4,4,84,492,FCLGA1150
CPU,,Intel,Xeon E3-1270 V2,193,75.6,1856,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz,-1,-3,-3,,Ivy Bridge,Q2'12,E3-1270V2,4,8,69,,FCLGA1155
CPU,YD170XBCAEWOF,AMD,Ryzen 7 1700X,194,75.6,93820,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915,-2,-2,-1,-163,,,,,,,190,
CPU,,Intel,Xeon E5-2687W 0,195,75.5,517,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz,-1,-3,-3,,Sandy Bridge EP,Q1'12,E5-2687W,8,16,150,,FCLGA2011
CPU,BX80662I56600,Intel,Core i5-6600,196,75.4,54277,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514,-1,-3,-3,-224,Skylake,Q3'15,i5-6600,4,4,65,226,FCLGA1151
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,197,75.4,100908,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920,-1,-2,-1,-167,,,,,,,168,
CPU,FH8068403419522,Intel,Core i5-8259U,198,75.4,1756,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz,-1,-2,-2,,Coffee Lake,Q2'18,i5-8259U,4,8,28,,FCBGA1528
CPU,BX80633I74820K,Intel,Core i7-4820K,199,75.3,15025,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675,-1,-3,-1,-1270,Ivy Bridge E,Q3'13,i7-4820K,4,8,130,350,
CPU,,Intel,Xeon E3-1240 v3,200,75.2,1644,https://cpu.userbenchmark.com/SpeedTest/4602/IntelR-XeonR-CPU-E3-1240-v3---340GHz,-2,-3,-2,-4953,,,,,,,309,
CPU,,Intel,Core i5-9300H,201,75.2,37966,https://cpu.userbenchmark.com/SpeedTest/744904/IntelR-CoreTM-i5-9300H-CPU---240GHz,-2,-3,-1,-228,,Q2'19,i5-9300H,4,8,45,,FCBGA1440
CPU,BX80637I73770,Intel,Core i7-3770,202,75.1,166926,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979,-2,-3,-3,-84,Ivy Bridge,Q2'12,i7-3770,4,8,77,260,FCLGA1155
CPU,,Intel,Core i7-7820HK,203,75,10314,https://cpu.userbenchmark.com/SpeedTest/224965/IntelR-CoreTM-i7-7820HK-CPU---290GHz,-2,-3,-1,-2503,Kaby Lake,Q1'17,i7-7820HK,4,8,45,,
CPU,BX80623I52500K,Intel,Core i5-2500K,204,75,130653,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619,-2,-4,-3,-135,Sandy Bridge,Q1'11,i5-2500K,4,4,95,,LGA1155
CPU,,Intel,Core i5-4670S,205,74.9,823,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz,-2,-4,-4,,Haswell,Q2'13,i5-4670S,4,4,65,,FCLGA1150
CPU,,Intel,Core i7-4790S,206,74.8,8084,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz,-2,-3,-2,-1280,Haswell,Q2'14,i7-4790S,4,8,65,347,FCLGA1150
CPU,,Intel,Xeon E5-1620 v2,207,74.8,5540,https://cpu.userbenchmark.com/SpeedTest/8354/IntelR-XeonR-CPU-E5-1620-v2---370GHz,-2,-3,-3,-1270,Ivy Bridge EP,Q3'13,E5-1620V2,4,8,130,,FCLGA2011
CPU,,Intel,Xeon E3-1275 V2,208,74.8,210,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz,-2,-3,-3,,Ivy Bridge,Q2'12,E3-1275V2,4,8,77,,FCLGA1155
CPU,,Intel,Core i7-4770S,209,74.7,6889,https://cpu.userbenchmark.com/SpeedTest/2123/IntelR-CoreTM-i7-4770S-CPU---310GHz,-2,-3,-3,-1261,Haswell,Q2'13,i7-4770S,4,8,65,244,FCLGA1150
CPU,,Intel,Core i7 970,210,74.7,2481,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz,-2,-4,-3,-4966,Gulftown,Q3'10,i7-970,6,12,130,,FCLGA1366
CPU,,Intel,Xeon E3-1240 V2,211,74.7,2323,https://cpu.userbenchmark.com/SpeedTest/5484/IntelR-XeonR-CPU-E3-1240-V2---340GHz,-2,-3,-3,-4964,Ivy Bridge,Q2'12,E3-1240V2,4,8,69,440,FCLGA1155
CPU,100-000000085,AMD,Ryzen 3 4300U,212,74.6,52,https://cpu.userbenchmark.com/SpeedTest/1135301/AMD-Ryzen-3-4300U-with-Radeon-Graphics,-2,-3,-3,,,,,,,,,
CPU,,Intel,Core i5-6600T,213,74.6,546,https://cpu.userbenchmark.com/SpeedTest/37851/IntelR-CoreTM-i5-6600T-CPU---270GHz,-2,-4,-4,,Skylake,Q3'15,i5-6600T,4,4,35,,FCLGA1151
CPU,YD3400C5FHBOX,AMD,Ryzen 5 3400G,214,74.6,22188,https://cpu.userbenchmark.com/SpeedTest/825156/AMD-Ryzen-5-3400G-with-Radeon-Vega-Graphics,-2,-2,-1,-60,,,,,,,157,
CPU,BX80677I77700T,Intel,Core i7-7700T,215,74.5,4003,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz,-2,-3,-2,-4977,Kaby Lake,Q1'17,i7-7700T,4,8,35,,FCLGA1151
CPU,BX80646I54570,Intel,Core i5-4570,216,74.3,75715,https://cpu.userbenchmark.com/Intel-Core-i5-4570/Rating/2770,-2,-4,-4,-129,Haswell,Q2'13,i5-4570,4,4,84,248,FCLGA1150
CPU,,Intel,Xeon E3-1245 V2,217,74.3,1295,https://cpu.userbenchmark.com/SpeedTest/5622/IntelR-XeonR-CPU-E3-1245-V2---340GHz,-2,-3,-3,-4962,Ivy Bridge,Q2'12,E3-1245V2,4,8,77,387,FCLGA1155
CPU,BX80646I54590,Intel,Core i5-4590,218,74.3,86029,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604,-2,-4,-4,-104,Haswell,Q2'14,i5-4590,4,4,84,177,FCLGA1150
CPU,,Intel,Xeon E3-1245 v3,219,74.3,1755,https://cpu.userbenchmark.com/SpeedTest/4697/IntelR-XeonR-CPU-E3-1245-v3---340GHz,-2,-3,-2,-4959,,,,,,,345,
CPU,,Intel,Xeon E3-1220 v5,220,74.2,697,https://cpu.userbenchmark.com/SpeedTest/139116/IntelR-XeonR-CPU-E3-1220-v5---300GHz,-2,-4,-4,,Skylake,Q4'15,E3-1220V5,4,4,80,,FCLGA1151
CPU,,Intel,Core i7-3820,221,74.2,31736,https://cpu.userbenchmark.com/SpeedTest/739/IntelR-CoreTM-i7-3820-CPU---360GHz,-2,-3,-2,-610,Sandy Bridge E,Q1'12,i7-3820,4,8,130,449,
CPU,,Intel,Core i7-8705G,222,74.2,4036,https://cpu.userbenchmark.com/SpeedTest/453718/IntelR-CoreTM-i7-8705G-CPU---310GHz,-2,-3,-2,,Kaby Lake G,Q1'18,i7-8705G,4,8,,,BGA2270
CPU,,Intel,Xeon X5660,223,74.1,3823,https://cpu.userbenchmark.com/SpeedTest/17750/IntelR-XeonR-CPU-----------X5660----280GHz,-2,-5,-2,-4974,Westmere EP,Q1'10,X5660,6,12,95,,FCLGA1366
CPU,YD250XBBM4KAF,AMD,Ryzen 5 2500X,224,74,823,https://cpu.userbenchmark.com/SpeedTest/567224/AMD-Ryzen-5-2500X-Quad-Core-Processor,-2,-2,-2,,,,,,,,,
CPU,,Intel,Xeon E5-2690 v2,225,74,504,https://cpu.userbenchmark.com/SpeedTest/13436/IntelR-XeonR-CPU-E5-2690-v2---300GHz,-2,-3,-2,,Ivy Bridge EP,Q3'13,E5-2690V2,10,20,130,680,FCLGA2011
CPU,,Intel,Core i5-3570,226,73.8,63314,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz,-2,-4,-4,-351,Ivy Bridge,Q2'12,i5-3570,4,4,77,,FCLGA1155
CPU,,Intel,Xeon E3-1226 v3,227,73.8,1230,https://cpu.userbenchmark.com/SpeedTest/18482/IntelR-XeonR-CPU-E3-1226-v3---330GHz,-2,-4,-4,-4943,Haswell,Q2'14,E3-1226V3,4,4,84,222,FCLGA1150
CPU,,Intel,Xeon E3-1265L v3,228,73.8,104,https://cpu.userbenchmark.com/SpeedTest/20266/IntelR-XeonR-CPU-E3-1265L-v3---250GHz,-2,-3,-3,,,,,,,,,
CPU,,Intel,Core i5-3550,229,73.6,14014,https://cpu.userbenchmark.com/SpeedTest/846/IntelR-CoreTM-i5-3550-CPU---330GHz,-2,-4,-5,-720,Ivy Bridge,Q2'12,i5-3550,4,4,77,168,FCLGA1155
CPU,,Intel,Xeon E3-1230 V2,230,73.5,4736,https://cpu.userbenchmark.com/SpeedTest/652/IntelR-XeonR-CPU-E3-1230-V2---330GHz,-2,-4,-4,-1694,Ivy Bridge,Q2'12,E3-1230V2,4,8,69,440,FCLGA1155
CPU,CM8066201920202,Intel,Core i7-6700T,231,73.5,6004,https://cpu.userbenchmark.com/SpeedTest/36439/IntelR-CoreTM-i7-6700T-CPU---280GHz,-2,-3,-3,-4987,Skylake,Q3'15,i7-6700T,4,8,35,,FCLGA1151
CPU,,Intel,Xeon X5650,232,73.3,8866,https://cpu.userbenchmark.com/SpeedTest/355/IntelR-XeonR-CPU-----------X5650----267GHz,-2,-5,-3,-1694,Westmere EP,Q1'10,X5650,6,12,95,492,FCLGA1366
CPU,,Intel,Core i7-3770S,233,73.2,4669,https://cpu.userbenchmark.com/SpeedTest/2218/IntelR-CoreTM-i7-3770S-CPU---310GHz,-2,-4,-3,-1310,Ivy Bridge,Q2'12,i7-3770S,4,8,65,608,FCLGA1155
CPU,,Intel,Xeon E31270,234,73.1,1622,https://cpu.userbenchmark.com/SpeedTest/5604/IntelR-XeonR-CPU-E31270---340GHz,-2,-4,-4,-4983,,,,,,,,
CPU,CL8068403373522,Intel,Core i5-8300H,235,73,86619,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz,-2,-3,-2,-204,Coffee Lake,Q2'18,i5-8300H,4,8,45,,FCBGA1440
CPU,,Intel,Core i5-4590S,236,72.9,6531,https://cpu.userbenchmark.com/SpeedTest/13459/IntelR-CoreTM-i5-4590S-CPU---300GHz,-2,-4,-4,-1007,Haswell,Q2'14,i5-4590S,4,4,65,177,FCLGA1150
CPU,CM8068403377415,Intel,Core i3-8100T,237,72.8,808,https://cpu.userbenchmark.com/SpeedTest/509371/IntelR-CoreTM-i3-8100T-CPU---310GHz,-2,-5,-5,,Coffee Lake,Q2'18,i3-8100T,4,4,35,,FCLGA1151
CPU,BX80677I37320,Intel,Core i3-7320,238,72.8,301,https://cpu.userbenchmark.com/Intel-Core-i3-7320/Rating/3888,-2,-4,-4,,Kaby Lake,Q1'17,i3-7320,2,4,51,285,FCLGA1151
CPU,100-000000105,AMD,Ryzen 5 4600U,239,72.8,82,https://cpu.userbenchmark.com/SpeedTest/1152158/AMD-Ryzen-5-4600U-with-Radeon-Graphics,-2,-2,-1,,,,,,,,,
